conversation_id,user_id,cluster_membership
c3124,user573,0
c5851,user1068,1
c3,user6,2
c231,user57,3
c2203,user413,4
c2063,user388,5
c3377,user629,6
c5119,user953,7
c5047,user948,8
c3,user6,9
c5615,user1043,10
c939,user170,11
c3970,user728,12
c3970,user728,13
c3746,user691,14
c3611,user683,15
c2574,user479,16
c524,user83,17
c656,user133,18
c7089,user1307,19
c5408,user992,20
c1996,user373,21
c2965,user550,22
c29,user3,23
c863,user137,24
c5766,user1050,25
c5152,user965,26
c2156,user402,27
c864,user138,28
c864,user138,29
c2644,user136,30
c6193,user1152,31
c3746,user691,32
c2644,user136,33
c6968,user1292,34
c5152,user965,35
c769,user130,36
c967,user178,37
c967,user178,37
c7856,user1477,38
c3759,user697,39
c3226,user615,40
c6177,user1151,41
c7200,user1329,42
c6177,user1151,41
c5806,user1072,43
c7131,user1316,44
c5888,user1100,45
c5888,user1100,46
c4786,user874,47
c7841,user1404,48
c7199,user1338,49
c3326,user632,50
c5970,user1103,51
c6363,user1181,52
c3746,user691,53
c3746,user691,54
c4151,user764,55
c3329,user602,56
c2781,user518,57
c3611,user683,58
c5408,user992,59
c2781,user518,60
c4727,user855,61
c5408,user992,62
c6591,user1266,63
c987,user186,64
c5049,user936,65
c2837,user533,66
c1549,user268,67
c2634,user489,68
c2965,user550,22
c4256,user776,69
c2868,user541,70
c7374,user1356,71
c2965,user550,22
c2965,user550,22
c2965,user550,22
c4127,user769,72
c4180,user764,73
c2124,user393,74
c2781,user518,75
c2781,user518,76
c2781,user518,77
c2166,user403,78
c2644,user136,79
c2644,user136,79
c6830,user1270,80
c3611,user683,81
c2406,user464,82
c3746,user691,83
c3746,user691,84
c7401,user1415,85
c7401,user1415,85
c2634,user489,86
c2669,user496,87
c2669,user496,87
c6687,user1247,88
c3175,user592,89
c3175,user592,89
c3175,user592,90
c3581,user674,91
c284,user37,92
c284,user37,92
c630,user111,93
c1723,user326,94
c107,user17,95
c3551,user669,96
c3551,user669,96
c5934,user1101,97
c2781,user518,98
c6177,user1151,99
c2363,user455,100
c2363,user455,101
c2644,user136,102
c3299,user617,103
c3299,user617,103
c3746,user691,83
c967,user178,104
c878,user145,105
c6478,user1204,106
c1738,user325,107
c6686,user1190,108
c986,user183,109
c988,user194,109
c2306,user430,110
c736,user130,111
c7373,user1372,112
c3810,user706,113
c2794,user530,114
c3208,user621,115
c2644,user136,116
c3042,user557,117
c4423,user807,118
c7923,user1489,119
c5888,user1100,120
c3746,user691,121
c2017,user364,122
c3998,user748,123
c6145,user1142,124
c6145,user1142,124
c7927,user1206,125
c2380,user441,126
c6313,user1173,127
c4533,user829,128
c7386,user1364,129
c2017,user364,130
c2017,user364,130
c4599,user847,131
c4000,user728,132
c6655,user1202,133
c2826,user533,134
c2826,user533,134
c2156,user402,135
c2156,user402,135
c3975,user738,136
c5662,user1095,137
c5662,user1095,137
c5662,user1095,138
c1667,user309,139
c2916,user536,140
c2626,user491,141
c2626,user491,141
c6140,user1140,142
c502,user89,143
c1468,user268,144
c2644,user136,145
c2644,user136,146
c2644,user136,147
c2644,user136,147
c3210,user604,148
c2644,user136,116
c2401,user453,149
c1005,user186,150
c6177,user1151,99
c3746,user691,121
c2017,user364,151
c2017,user364,151
c5552,user1038,152
c5552,user1038,152
c5408,user992,153
c7454,user1434,154
c7739,user1401,155
c2781,user518,156
c6066,user1127,157
c1643,user310,158
c3638,user680,159
c3566,user664,160
c2713,user507,161
c6122,user1130,162
c7551,user1400,163
c1470,user301,164
c5756,user1067,165
c5756,user1067,166
c6008,user1117,167
c6496,user1226,168
c241,user64,169
c1033,user181,170
c7454,user1434,171
c2240,user420,172
c3294,user600,173
c1166,user222,174
c5058,user995,175
c5058,user995,175
c5058,user995,176
c6530,user1248,177
c4496,user822,178
c6084,user1124,179
c5834,user1090,180
c5898,user1100,181
c2490,user465,182
c1973,user375,183
c1973,user375,184
c1973,user375,185
c1973,user375,186
c4909,user874,187
c2913,user541,188
c4829,user898,189
c2771,user525,190
c1838,user350,191
c3101,user581,192
c3832,user708,193
c7973,user1493,194
c2707,user507,195
c2707,user507,195
c2707,user507,195
c294,user1017,196
c4688,user848,197
c7725,user1468,198
c3992,user743,199
c1965,user370,200
c3728,user705,201
c4971,user918,181
c3731,user672,181
c3386,user609,181
c2463,user457,181
c1276,user246,202
c2289,user427,190
c7667,user1462,203
c2767,user519,204
c7007,user1481,205
c6938,user1285,206
c4509,user807,207
c5486,user1023,208
c5310,user961,209
c3769,user665,210
c608,user117,211
c169,user16,212
c7044,user1288,213
c4203,user768,214
c3788,user698,215
c4917,user904,216
c3882,user720,217
c4407,user809,218
c275,user65,219
c4528,user836,220
c2769,user544,221
c2769,user544,221
c7744,user1388,222
c7744,user1388,222
c7744,user1388,222
c2769,user544,223
c2769,user544,223
c2769,user544,223
c396,user85,224
c4675,user871,225
c5078,user916,226
c7456,user1415,227
c6601,user1250,228
c4715,user871,229
c4715,user871,230
c5533,user1033,231
c6170,user1146,232
c6764,user1207,233
c6764,user1207,234
c2299,user429,235
c2380,user441,236
c6571,user1249,237
c6948,user1227,238
c4032,user738,239
c56,user14,240
c20,user7,241
c4334,user790,242
c2006,user377,243
c722,user144,244
c722,user144,245
c1704,user319,246
c3565,user656,247
c6599,user1235,248
c2222,user414,249
c4329,user798,250
c6601,user1250,251
c6836,user1279,252
c3508,user651,253
c3420,user626,254
c4896,user911,255
c1715,user1024,256
c3114,user586,257
c7501,user1439,258
c7952,user1495,259
c5865,user1098,260
c3410,user641,261
c4959,user917,262
c4805,user911,263
c7561,user1453,264
c1494,user272,265
c6778,user1221,266
c3435,user620,267
c4899,user1086,268
c5107,user927,269
c5488,user1023,270
c4308,user786,271
c2316,user431,272
c1550,user291,273
c4576,user853,274
c6804,user1278,275
c1699,user324,276
c5023,user937,277
c98,user30,278
c1565,user291,279
c4948,user906,280
c690,user137,281
c2200,user413,282
c6503,user1224,283
c7159,user1320,284
c3259,user608,285
c6188,user1144,286
c2400,user455,287
c5410,user1008,288
c2386,user464,289
c3042,user557,290
c3843,user707,291
c6846,user1278,292
c3530,user656,293
c3431,user598,294
c7721,user1410,295
c2904,user537,296
c4839,user900,297
c4325,user788,298
c2461,user451,299
c2906,user540,300
c3771,user701,301
c5180,user968,302
c2754,user522,303
c4064,user747,304
c1091,user192,305
c4962,user917,306
c7822,user1474,307
c3294,user600,308
c5488,user1023,309
c2910,user523,310
c7309,user1358,311
c3478,user630,312
c5716,user1074,313
c5544,user1034,314
c6981,user1481,315
c1947,user365,316
c997,user181,317
c997,user181,318
c608,user117,319
c3935,user723,320
c6937,user1283,321
c714,user112,322
c2769,user544,323
c3717,user697,324
c1784,user336,325
c685,user114,326
c228,user41,327
c4388,user805,328
c4102,user752,329
c997,user181,317
c4583,user844,330
c5114,user981,331
c3067,user575,332
c3411,user646,333
c5479,user1023,334
c5196,user930,335
c4029,user734,336
c6926,user1280,337
c5758,user1074,338
c3638,user680,339
c3182,user605,340
c1510,user268,341
c5126,user968,342
c1482,user288,343
c2999,user557,343
c1945,user373,343
c2886,user530,343
c7405,user1396,343
c3064,user581,343
c7637,user1479,343
c1893,user335,343
c6421,user1197,343
c6483,user1206,343
c2968,user550,343
c4240,user762,343
c3986,user729,343
c2536,user469,343
c6066,user1127,343
c1624,user257,343
c6550,user1242,343
c719,user149,343
c2536,user469,343
c3636,user669,343
c7162,user1318,343
c325,user69,343
c2536,user469,343
c663,user122,343
c5097,user972,343
c1605,user294,343
c6835,user1250,343
c5369,user1010,344
c175,user50,345
c6134,user1138,346
c1810,user336,347
c73,user13,348
c832,user145,349
c5413,user928,350
c4663,user872,351
c3885,user725,352
c382,user80,353
c2124,user393,354
c4344,user803,355
c5725,user1053,356
c3711,user665,357
c7391,user1386,358
c2666,user496,359
c4344,user803,360
c7961,user1442,361
c325,user69,362
c6282,user1175,363
c7656,user1454,364
c1028,user193,365
c3628,user673,366
c4128,user751,367
c1550,user291,368
c1069,user181,369
c5738,user1068,370
c813,user144,371
c2509,user458,372
c2509,user458,373
c2509,user458,373
c1615,user301,374
c4962,user917,375
c3278,user602,376
c6331,user418,377
c2522,user476,378
c1559,user292,379
c2076,user391,380
c98,user30,381
c3024,user557,382
c426,user88,383
c3633,user690,384
c6907,user1211,385
c2842,user544,386
c1668,user310,387
c5551,user1040,388
c1530,user283,389
c2732,user501,390
c4702,user844,391
c3999,user741,392
c5000,user927,393
c3372,user616,394
c6528,user1188,395
c3580,user685,396
c3580,user685,396
c4514,user842,397
c1439,user258,398
c7394,user1385,399
c1598,user297,400
c5450,user1019,401
c6969,user1287,402
c6523,user1193,403
c7836,user1475,404
c5551,user1040,405
c4049,user740,406
c3772,user693,407
c761,user140,408
c4245,user766,409
c5085,user969,410
c918,user169,411
c7147,user1321,412
c1188,user213,413
c5637,user1058,414
c5812,user1079,415
c6959,user1289,416
c6886,user1250,417
c437,user68,418
c7307,user1364,419
c2182,user409,420
c1765,user327,421
c2915,user537,422
c2386,user464,423
c558,user107,424
c324,user65,425
c3502,user651,426
c16,user7,427
c7657,user1463,428
c4140,user759,429
c2901,user536,430
c65,user11,431
c5022,user914,432
c3312,user593,433
c2204,user413,434
c1295,user248,435
c1599,user293,436
c4344,user803,437
c6702,user1207,438
c4070,user731,439
c5456,user1019,440
c5938,user1165,441
c4287,user790,442
c4116,user756,443
c2014,user380,444
c5077,user955,445
c3153,user589,446
c2902,user534,447
c1738,user325,448
c309,user67,449
c4050,user749,450
c6331,user418,451
c5556,user1037,452
c12,user7,453
c813,user144,454
c4138,user756,455
c617,user122,456
c2475,user476,457
c16,user7,458
c2732,user501,459
c1173,user193,460
c6825,user1255,461
c6469,user1212,462
c5721,user1057,463
c3666,user669,464
c3661,user689,465
c4411,user805,466
