cluster_id,cluster_size,gpt_description,top_words,top_texts
-1,2578,Outliers,"['think', 'people', 'hello', 'tell', 'like', 'hi', 'life', 'does', 'talk', 'good']","['Hello', 'How do I become financially stable on a low income', 'How do I deal with a confrontational coworker that does not value or contribute to the team environment?', 'What is the likely cause of death of the late, great Matthew Perry?', 'Do God exist?']"
19,816,"""Managing Relationships""","['family', 'relationship', 'important', 'think', 'values', 'love', 'friend', 'people', 'marriage', 'person']","['What advice would you give for a man betrayed by his family and friends over and over again, how could someone like that exist in a world where the only way to succeed is by benefiting from nepotism?', 'I feel like accepting toxic behavior from a person that supposedly loves you is ok to elicit a toxic response. What do you think?', 'What boundaries would you teach someone that is disrespected.', 'Hi. I hope you are doing well. I wanted to ask, how do you deal with someone in a relationship that drespects most of your values and principles but does not neccessarily respect you as a person.', ""Do you think it's unhealthy for a 62 year old single woman to spend all her time alone even if she's content and fulfilled?""]"
14,493,"""Popular Culture (Sports, Music, TV)""","['game', 'best', 'football', 'music', 'games', 'movie', 'video', 'like', 'think', 'world']","['How many people love Star Trek?', 'I enjoy watching soaps on television', 'What makes the ""Star Trek"" franchise such an important and enduring classic of TV. More specifically- what values and beliefs make it great and classic?', 'Star wars or Star trek?', ""What is the appeal of such franchises as Star Wars, Harry Potter, the Lion King and Indiana Jones to adults? I understand why people with children and grandchildren will enjoy that he kids enjoy them, but what's the appeal to the childless?""]"
18,448,"""Job Search""","['work', 'job', 'money', 'make', 'time', 'working', 'home', 'best', 'make money', 'boss']","['why is life hard to earn a good wage times are hard and i never seem to have any money', 'Why are there so many available jobs but no one seem to be able to get one? Especially in tech', 'How do you work?', ""I can't find a job and I don't know what to do.."", 'what to do if i am student and i study every day but i need a job?']"
6,441,"""Religion and Spirituality""","['religion', 'god', 'believe', 'believe god', 'think', 'religious', 'religions', 'church', 'people', 'think religion']","['What is the difference between being religious or being spiritual?', 'Hi. Are you well informed on spirituality?', ""I'm a deeply spiritual person but don't feel drawn to organized religion. Do you think a spiritual person should be referred to a being religious or is that reserved for actual religions that have labels?"", 'What is Christianity', 'Is christianity the only true way to God?']"
17,401,"""Election and Political Parties""","['trump', 'donald trump', 'donald', 'vote', 'president', 'election', 'political', 'party', 'politics', 'think']","['What are the main political parties in France?', 'What is your opinion on the upcoming president elections in the USA?', 'Can the conservative party win the next election?', 'are the conservatives going to lose the next election', 'Should a general election be called now?']"
8,360,"""Recipe and Cooking Queries""","['recipe', 'make', 'dinner', 'food', 'best', 'meal', 'cake', 'recipes', 'cook', 'eat']","['I understand the taste maybe different depending on chefs, but can you describe the taste of following dish?:', 'I want to learn to make Thai food. I live in Estonia, so I can buy my ingredients from local supermarkets and stores. What ingredients besides rice and shrimp would I need?', 'Give me quick easy Christmas  breakfast menu and recipe please', 'Could I have suggestions for a quick and easy dinner recipe tonight please?', 'I would like a recipe for porridge, however I want you to reply with one one ingredient at a time, and make me prompt you for the next ingredient. The recipe must contain ten ingredients.']"
3,320,"""Israel-Palestine Conflict""","['israel', 'palestine', 'conflict', 'israel palestine', 'hamas', 'gaza', 'war', 'right', 'current', 'think']","['Is the Israeli prime minister should remain in office during the war or leave?', 'Is Palestine a terrorist state?', 'While I respect the fact that Israel exists, and condemn he Hamas terrorism, we must not forget that Israel irself was established after a terrorist campaign, and large numbers of people were forced to leave lands their forebears had lived in for centuries', 'We are in Israel and currently in a war with terror organiziation (Hamas) that in within Gaza. I agree with the army, that after the attack they initiated on October 7, 2023, Israel should destroy them because they killed many of our innocent civilians and soldiers and all we gave them is peace. Some people within my country still want to give these terrorist lands and provide them with human rights. Please let me know what you think of this people in Israel.', 'Do Palestinians in Palestine hate Israelis in Israel, and if so, why?']"
13,286,"""Gender and LGBTQ+ Identity""","['women', 'gay', 'gender', 'people', 'men', 'transgender', 'think', 'trans', 'sex', 'marriage']","['i dont think its okay for schools to be teaching our chilren iuts okay for them to choose their gender and not just be proud of the one they are born with and assigned at birth', 'Can you please explain gender reassignment reasons?', 'Do the disadvantages and possible illnesses that can occur from gender organ changes not outway the advantages?', 'what is your take on gender realignment', 'My younger brother is trying to explore his gender expression. What can I do to help and support him?']"
16,207,"""Travel Recommendations""","['travel', 'best', 'visit', 'holiday', 'country', 'places', 'live', 'trip', 'destination', 'itinerary']","['What is the best city in Andalusia?', 'Greece is known for its Island and beaches. What else is in greece', 'What city in Chile you recommend me go on vacatios?', 'Which city is the most popular destination for families visiting South Africa?', 'What do you think about Las Vegas, Nevada?']"
